"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000356105 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000356105 (pp) 9606.ENSP00000356107","0.072",,,,"0.059",,,"0.927","0.924"
"pp","9606.ENSP00000356105 (pp) 9606.ENSP00000356110","false","pp","9606.ENSP00000356105 (pp) 9606.ENSP00000356110","0.072",,,,"0.232",,,"0.935","0.917"
"pp","9606.ENSP00000356107 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000356107 (pp) 9606.ENSP00000500990",,,,,,,,"0.748","0.748"
"pp","9606.ENSP00000356107 (pp) 9606.ENSP00000356110","false","pp","9606.ENSP00000356107 (pp) 9606.ENSP00000356110","0.048",,,,"0.603",,,"0.97","0.928"
"pp","9606.ENSP00000280571 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000280571 (pp) 9606.ENSP00000356107","0.049",,,,,,,"0.716","0.714"
"pp","9606.ENSP00000346671 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000346671 (pp) 9606.ENSP00000500990","0.073",,,"0.743",,,,"0.836","0.368"
"pp","9606.ENSP00000346671 (pp) 9606.ENSP00000365272","false","pp","9606.ENSP00000346671 (pp) 9606.ENSP00000365272",,,,"0.09",,,,"0.766","0.754"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000314499","0.097",,,,,,,"0.743","0.728"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000500990",,,,,,,,"0.727","0.727"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000273814","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000273814","0.103",,,,,,,"0.731","0.713"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000298910",,,,,,,,"0.72","0.72"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000313419",,,,,,,,"0.888","0.888"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000304592","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000304592",,,,,,,,"0.725","0.725"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000346671",,,,"0.044",,,,"0.942","0.942"
"pp","9606.ENSP00000324651 (pp) 9606.ENSP00000369981","false","pp","9606.ENSP00000324651 (pp) 9606.ENSP00000369981","0.076",,,"0.089",,,,"0.809","0.792"
"pp","9606.ENSP00000273814 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000273814 (pp) 9606.ENSP00000314499","0.143",,,,,,,"0.738","0.707"
"pp","9606.ENSP00000380888 (pp) 9606.ENSP00000417235","false","pp","9606.ENSP00000380888 (pp) 9606.ENSP00000417235","0.154",,"0.54","0.715",,,,"0.996","0.974"
"pp","9606.ENSP00000313419 (pp) 9606.ENSP00000351497","false","pp","9606.ENSP00000313419 (pp) 9606.ENSP00000351497","0.137",,,,,,,"0.933","0.926"
"pp","9606.ENSP00000340373 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000340373 (pp) 9606.ENSP00000340820",,,,"0.51",,,,"0.748","0.507"
"pp","9606.ENSP00000427018 (pp) 9606.ENSP00000479261","false","pp","9606.ENSP00000427018 (pp) 9606.ENSP00000479261",,,,"0.942",,,,"0.984","0.741"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000357283","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000357283",,,,,,,,"0.754","0.754"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000257189","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000257189","0.105",,"0.5","0.134",,,,"0.876","0.719"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000355533","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000355533",,,,,,,,"0.828","0.828"
"pp","9606.ENSP00000303634 (pp) 9606.ENSP00000360280","false","pp","9606.ENSP00000303634 (pp) 9606.ENSP00000360280",,,,"0.72",,,,"0.904","0.674"
"pp","9606.ENSP00000303634 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000303634 (pp) 9606.ENSP00000340820","0.058",,,,,,,"0.718","0.713"
"pp","9606.ENSP00000484824 (pp) 9606.ENSP00000495398","false","pp","9606.ENSP00000484824 (pp) 9606.ENSP00000495398","0.064",,"0.5","0.098",,,,"0.799","0.582"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000314499","0.157",,"0.5","0.561",,,,"0.94","0.717"
"pp","9606.ENSP00000340820 (pp) 9606.ENSP00000387393","false","pp","9606.ENSP00000340820 (pp) 9606.ENSP00000387393",,,,,,,,"0.785","0.785"
"pp","9606.ENSP00000340820 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000340820 (pp) 9606.ENSP00000346671",,,,"0.874",,,,"0.994","0.958"
"pp","9606.ENSP00000340820 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000340820 (pp) 9606.ENSP00000500990","0.08",,,"0.817",,,,"0.994","0.971"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000253083","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000253083",,,,,"0.538",,,"0.873","0.736"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000314499",,,,,,,,"0.7","0.7"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000265594","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000265594",,,,,,,,"0.773","0.774"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000357283","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000357283",,,,,,,,"0.752","0.752"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000365162","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000365162","0.111",,,"0.075",,,,"0.714","0.681"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000351022","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000351022","0.042",,,"0.128",,,,"0.781","0.76"
"pp","9606.ENSP00000287878 (pp) 9606.ENSP00000479669","false","pp","9606.ENSP00000287878 (pp) 9606.ENSP00000479669","0.048",,"0.65",,,,,"0.724","0.241"
"pp","9606.ENSP00000306124 (pp) 9606.ENSP00000365162","false","pp","9606.ENSP00000306124 (pp) 9606.ENSP00000365162","0.055",,"0.9",,,,,"0.904","0.072"
"pp","9606.ENSP00000355533 (pp) 9606.ENSP00000489262","false","pp","9606.ENSP00000355533 (pp) 9606.ENSP00000489262","0.063","0.053","0.9","0.863",,,,"0.995","0.697"
"pp","9606.ENSP00000370593 (pp) 9606.ENSP00000374135","false","pp","9606.ENSP00000370593 (pp) 9606.ENSP00000374135","0.108",,,,,,,"0.746","0.727"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000264896",,,,,,,,"0.717","0.718"
"pp","9606.ENSP00000262764 (pp) 9606.ENSP00000368140","false","pp","9606.ENSP00000262764 (pp) 9606.ENSP00000368140","0.055",,"0.908",,,,"0.084","0.976","0.744"
"pp","9606.ENSP00000261667 (pp) 9606.ENSP00000343701","false","pp","9606.ENSP00000261667 (pp) 9606.ENSP00000343701","0.386","0.07","0.9","0.091",,,,"0.946","0.134"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000431418","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000431418","0.05",,"0.9","0.087",,,,"0.96","0.594"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000313419",,,"0.9",,,,,"0.967","0.691"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000346671","0.043",,"0.9","0.069",,,,"0.951","0.52"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000360280","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000360280","0.056",,"0.9",,,,,"0.901",
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000373700","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000373700",,,"0.9","0.069",,,,"0.979","0.801"
"pp","9606.ENSP00000262519 (pp) 9606.ENSP00000461879","false","pp","9606.ENSP00000262519 (pp) 9606.ENSP00000461879","0.162",,,"0.48",,,,"0.868","0.723"
"pp","9606.ENSP00000360423 (pp) 9606.ENSP00000419101","false","pp","9606.ENSP00000360423 (pp) 9606.ENSP00000419101","0.109",,"0.54","0.289",,,,"0.874","0.619"
"pp","9606.ENSP00000298910 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000298910 (pp) 9606.ENSP00000356107",,,,"0.628",,,,"0.995","0.989"
"pp","9606.ENSP00000298910 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000298910 (pp) 9606.ENSP00000500990","0.072",,,"0.513",,,,"0.986","0.973"
"pp","9606.ENSP00000298910 (pp) 9606.ENSP00000371420","false","pp","9606.ENSP00000298910 (pp) 9606.ENSP00000371420","0.042",,"0.5",,,,,"0.809","0.634"
"pp","9606.ENSP00000298910 (pp) 9606.ENSP00000369981","false","pp","9606.ENSP00000298910 (pp) 9606.ENSP00000369981",,,,"0.525",,,,"0.887","0.773"
"pp","9606.ENSP00000298910 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000298910 (pp) 9606.ENSP00000340820",,,,"0.629",,,,"0.932","0.826"
"pp","9606.ENSP00000298910 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000298910 (pp) 9606.ENSP00000314499",,,,"0.63",,,,"0.981","0.953"
"pp","9606.ENSP00000272452 (pp) 9606.ENSP00000319622","false","pp","9606.ENSP00000272452 (pp) 9606.ENSP00000319622",,"0.064","0.5","0.466",,,,"0.739","0.082"
"pp","9606.ENSP00000259008 (pp) 9606.ENSP00000353793","false","pp","9606.ENSP00000259008 (pp) 9606.ENSP00000353793","0.445",,,"0.146",,,,"0.717","0.452"
"pp","9606.ENSP00000219596 (pp) 9606.ENSP00000300589","false","pp","9606.ENSP00000219596 (pp) 9606.ENSP00000300589","0.096",,,"0.067",,,,"0.749","0.727"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000303634","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000303634",,,"0.4","0.58",,,,"0.999","0.997"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000260408","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000260408",,,,,,,,"0.733","0.733"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000500990","0.06",,"0.5","0.785",,,,"0.996","0.967"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000264896","0.102",,,,,,,"0.797","0.784"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000340820","0.044",,,"0.701",,,,"0.991","0.973"
"pp","9606.ENSP00000314499 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000314499 (pp) 9606.ENSP00000356107","0.049",,,"0.334",,,,"0.979","0.971"
"pp","9606.ENSP00000314499 (pp) 9606.ENSP00000386456","false","pp","9606.ENSP00000314499 (pp) 9606.ENSP00000386456","0.102",,,"0.369",,,,"0.785","0.652"
"pp","9606.ENSP00000295688 (pp) 9606.ENSP00000358081","false","pp","9606.ENSP00000295688 (pp) 9606.ENSP00000358081","0.113",,"0.72","0.058",,,,"0.764","0.112"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000236192","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000236192",,,"0.9","0.46",,,,"0.969","0.488"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000479261","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000479261","0.052",,,"0.346",,,,"0.862","0.796"
"pp","9606.ENSP00000334657 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000334657 (pp) 9606.ENSP00000484824","0.049",,,"0.05",,,,"0.821","0.818"
"pp","9606.ENSP00000321805 (pp) 9606.ENSP00000357305","false","pp","9606.ENSP00000321805 (pp) 9606.ENSP00000357305",,"0.057","0.5","0.788",,,,"0.893","0.063"
"pp","9606.ENSP00000441929 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000441929 (pp) 9606.ENSP00000484824","0.064",,"0.5","0.098",,,,"0.937","0.869"
"pp","9606.ENSP00000441929 (pp) 9606.ENSP00000495398","false","pp","9606.ENSP00000441929 (pp) 9606.ENSP00000495398","0.055",,"0.5","0.132",,,,"0.895","0.776"
